ID	log2(fold change)	-log10(Pvalue)
A_23_P389987	0.075	3.007
A_23_P391857	0.281	2.774
A_23_P39251	-0.106	2.636
A_23_P396858	0.095	2.781
A_23_P399255	0.111	3.565
A_23_P3994	-0.075	2.913
A_23_P400147	-0.105	3.55
A_23_P40049	-0.071	3.072
A_23_P400515	-0.066	2.607
A_23_P401084	-0.081	2.981
A_23_P403081	-0.146	2.848
A_23_P403398	0.064	2.684
A_23_P408376	0.07	2.692
A_23_P410507	0.187	3.249
A_23_P411296	-0.13	3.583
A_23_P411612	0.081	3.555
A_23_P412562	-0.13	2.87
A_23_P413193	-0.147	3.047
A_23_P414654	-0.221	5.337
A_23_P414978	-0.065	2.771
A_23_P415974	-0.274	2.863
A_23_P4161	-0.169	4.093
A_23_P416212	-0.084	2.816
A_23_P416305	0.257	2.601
A_23_P416965	-0.085	3.444
A_23_P417918	0.334	5.152
A_23_P417974	-0.108	4.024
A_23_P41804	-0.197	4.377
A_23_P418485	-0.126	4.385
A_23_P41942	-0.061	2.681
A_23_P419602	-0.071	2.974
A_23_P419696	0.235	3.347
A_23_P420417	-0.105	3.391
A_23_P420551	0.15	3.226
A_23_P421175	0.15	2.941
A_23_P423482	0.132	3.204
A_23_P424002	0.094	3.063
A_23_P425066	0.098	3.149
A_23_P4254	0.15	2.682
A_23_P42565	0.279	3.716
A_23_P425681	0.222	3.555
A_23_P426021	0.16	3.557
A_23_P42997	0.067	2.699
A_23_P43164	0.286	2.841
A_23_P432545	-0.092	2.818
A_23_P436618	-0.136	2.884
A_23_P44166	-0.084	3.168
A_23_P45324	0.071	3.284
A_23_P45786	0.081	2.787
A_23_P46351	-0.094	2.598
A_23_P46852	-0.053	2.729
A_23_P47924	0.178	2.685
A_23_P4798	-0.137	3.969
A_23_P48175	-0.073	3.01
A_23_P48581	-0.069	2.926
A_23_P48676	-0.132	3.743
A_23_P48713	-0.079	2.985
A_23_P48717	-0.114	3.508
A_23_P48747	0.086	3.391
A_23_P49155	-0.244	5.235
A_23_P49254	-0.191	4.431
A_23_P501831	-0.109	3.333
A_23_P502678	0.063	2.771
A_23_P50331	0.06	2.779
A_23_P50389	0.062	2.763
A_23_P51202	0.077	3.248
A_23_P51217	-0.19	3.081
A_23_P51884	-0.104	3.884
A_23_P52031	-0.095	3.206
A_23_P53370	0.131	2.708
